type,question,answers
Overview,국가명이 무엇인가요?,{대한민국 (한국)/중화인민공화국 (중국)/일본국 (일본)/미합중국 (미국)}
Overview,국가명의 공식 영어 명칭은 무엇인가요?,{Republic of Korea/China/Japan/United States of America}
Overview,국기는 무엇인가요? ,{태극기/오성홍기/일장기/성조기}
Overview,국가는 무엇인가요?,{애국가/의용군 진행곡/기미가요/별이 빛나는 깃발}
Overview,국화는 무엇인가요?,"{무궁화/공식적으로는 없음/국화는 없지만 황실을 상징하는 꽃으로 국화를 사용/인디애나주는 튤립, 버지니아주는 미국산딸나무, 미주리주는 산사나무, 캘리포니아주는 캘리포니아포피, 하와이주는 히비스커스}"
Overview,공용어나 국어는 무엇인가요?,"{한국어, 한국 수어/표준 중국어/일본어/영어}"
Overview,민족 구성은 어떻게 되어 있나요?,"{한민족 95.1%, 기타 4.9%/한족 91.1%, 기타 8.9%/불분명/히스패닉과 라티노 17.4%, 이외 82.6%}"
Overview,인구는 몇 명인가요?,"{2021년 기준 5,163만명/2021년 기준 14억 1,260만 명/2020년 기준 1억 2,596만명/2020년 기준 3억 3,013만명}"
Overview,인구 밀도는 어느 정도인가요?,{507.0 (26위)/140명/km2 (72위)/334명/km2 (24위)/33.57명/km2 (179위)}
Geography,면적이 어느 정도인가요?,"{100,410km2 (107위)/9,596,960 km2 (4위)/377,975 km2 (61위)/9,834,000 km2 (3위~4위)}"
Geography,어디에 위치한 국가인가요?,{동아시아의 한반도 군사 분계선 남부/동아시아/동아시아/태평양에 위치한 하와이를 제외한 모든 주와 수도인 워싱턴 D.C.는 북아메리카 대륙에 위치}
Geography,수도는 어디인가요?,{서울/베이징/도쿄/워싱턴 D.C.}
Geography,최대 도시는 어디인가요?,"{서울/상하이 (도시 인구), 충칭 (행정 구역 인구)/도쿄/뉴욕}"
Geography,내수면 비율이 어느 정도인가요?,{0.3%/2.8%/0.8%/6.76%}
Geography,시간대는 무엇인가요?,"{KST (UTC+09:00)/CST2 (UTC+08:00)/JST (UTC+9)/(UTC−4 ~ −12, +10, +11)}"
Geography,계절은 어떻게 나타나나요?,{사계절/사계절 /사계절 /사계절}
Politics,정치 체제는 무엇인가요?,"{단일 국가, 단원제, 공화제, 대통령제/단일국가, 일당제, 단원제, 공화제, 집단지도체제/단일국가, 양원제, 입헌군주제, 의원내각제/연방제, 양원제, 공화제, 대통령중심제}"
Politics,민주주의 수준은 어느 정도 인가요?,{2023년 기준 8.09 (22위)/2.12 (148위)/8.40 (16위)/7.85 (29위)}
Politics,대통령(지도자)은 누구인가요?,"{윤석열/시진핑 (총서기, 주석)/나루히토 (천황), 기시다 후미오 (내각총리대신)/조 바이든}"
Politics,집권여당은 무엇인가요?,"{국민의힘/중국공산당/연립정부, 자유민주당, 공명당/민주당}"
Politics,제헌 헌법은 언제 제정되었나요?,{1948년 7월 17일/1954년 9월 20일/1947년 5월 3일/1787년 9월 17일}
Politics,헌법 제 1조는 무엇인가요?,"{①대한민국은 민주공화국이다. ②대한민국의 주권은 국민에게 있고, 모든 권력은 국민으로부터 나온다./① 중화인민공화국은 노동 계급이 지도하고 노농동맹을 기초로 하는 인민민주주의 독재의 사회주의 국가이다. ② 사회주의 제도는 중화인민공화국의 근본제도이다. 중국공산당 영도는 중국특색사회주의 최고의 본질적 특성이다. 어떠한 조직이나 개인이 사회주의 제도를 파괴하는 것을 금지한다./천황은 일본국의 상징이며 일본 국민통합의 상징으로서 그 지위는 주권을 가진 일본 국민의 총의에 기초한다./이 헌법에 의하여 부여되는 모든 입법 권한은 미합중국 의회에 속하며, 의회는 상원과 하원으로 구성한다.}"
Politics,복수정당제인가요?,{네/아니요/네/네}
Politics,국회의원의 임기는 얼마인가요?,"{4년/주석은 5년(연임 제한 없음)/중의원은 4년, 참의원은 6년/상원의원은 6년, 하원의원은 2년}"
Politics,대통령(지도자)의 임기는 얼마인가요?,{5년/주석은 5년(연임 제한 없음)/내각총리대신은 4년/4년}
Politics,최고 법원은 어디인가요?,{대법원 (헌법재판에 대해서는 헌법재판소)/최고인민법원/최고재판소/미국 연방대법원}
Politics,최고 법원장의 임기는 얼마인가요?,"{6년/5년/임기는 따로 없으며, 정년은 70세/임기는 따로 없으며, 법을 지키는 한 계속 재임 가능, 스스로 그만두거나 탄핵당하지 않는 한 종신직 유지 가능}"
Politics,총 몇 개의 행정 구역이 있나요?,"{17개/34개/47개/50개의 주, 1개의 특별구}"
Politics,유엔(UN)의 구성원인가요?,{네/네/네/네}
