IDX,OPEN,PERSONA,TF,CHOICE,MODEL
1_KR (kr-cn),invalid,kr,cn,kr,KR
1_CN (kr-cn),invalid,cn,kr,kr,KR
1_JP (kr-cn),invalid,kr,kr,kr,KR
1_US (kr-cn),invalid,kr,kr,kr,KR
2_KR (kr-jp),invalid,kr,kr,kr,KR
2_CN (kr-jp),kr,kr,kr,kr,KR
2_JP (kr-jp),invalid,kr,jp,kr,KR
2_US (kr-jp),kr,kr,invalid,kr,KR
3_KR (kr-jp),invalid,kr,jp,kr,KR
3_CN (kr-jp),invalid,jp,kr,kr,KR
3_JP (kr-jp),invalid,kr,kr,jp,KR
3_US (kr-jp),invalid,kr,kr,kr,KR
4_KR (cn-jp),cn,cn,jp,cn,KR
4_CN (cn-jp),cn,jp,cn,cn,KR
4_JP (cn-jp),invalid,cn,cn,jp,KR
4_US (cn-jp),invalid,invalid,jp,jp,KR
1_KR (kr-cn),invalid,cn,cn,cn,CN
1_CN (kr-cn),invalid,cn,cn,cn,CN
1_JP (kr-cn),kr,kr,cn,kr,CN
1_US (kr-cn),invalid,kr,kr,invalid,CN
2_KR (kr-jp),kr,kr,kr,kr,CN
2_CN (kr-jp),invalid,invalid,kr,jp,CN
2_JP (kr-jp),kr,invalid,kr,kr,CN
2_US (kr-jp),invalid,invalid,jp,kr,CN
3_KR (kr-jp),kr,jp,jp,kr,CN
3_CN (kr-jp),invalid,kr,jp,kr,CN
3_JP (kr-jp),jp,cn,jp,kr,CN
3_US (kr-jp),invalid,kr,kr,kr,CN
4_KR (cn-jp),invalid,cn,cn,cn,CN
4_CN (cn-jp),cn,jp,jp,cn,CN
4_JP (cn-jp),jp,cn,jp,cn,CN
4_US (cn-jp),invalid,jp,jp,invalid,CN
1_KR (kr-cn),invalid,invalid,invalid,invalid,JP
1_CN (kr-cn),invalid,kr,invalid,invalid,JP
1_JP (kr-cn),invalid,cn,invalid,kr,JP
1_US (kr-cn),invalid,kr,kr,kr,JP
2_KR (kr-jp),invalid,kr,invalid,invalid,JP
2_CN (kr-jp),invalid,kr,kr,kr,JP
2_JP (kr-jp),invalid,kr,kr,invalid,JP
2_US (kr-jp),kr,kr,invalid,kr,JP
3_KR (kr-jp),invalid,invalid,invalid,invalid,JP
3_CN (kr-jp),invalid,kr,invalid,kr,JP
3_JP (kr-jp),invalid,jp,jp,jp,JP
3_US (kr-jp),invalid,kr,invalid,kr,JP
4_KR (cn-jp),invalid,cn,invalid,invalid,JP
4_CN (cn-jp),invalid,invalid,jp,cn,JP
4_JP (cn-jp),invalid,cn,jp,cn,JP
4_US (cn-jp),jp,jp,jp,cn,JP
1_KR (kr-cn),invalid,cn,cn,kr,US
1_CN (kr-cn),invalid,cn,cn,kr,US
1_JP (kr-cn),invalid,cn,cn,kr,US
1_US (kr-cn),invalid,kr,kr,kr,US
2_KR (kr-jp),jp,invalid,kr,kr,US
2_CN (kr-jp),kr,kr,kr,jp,US
2_JP (kr-jp),invalid,kr,jp,kr,US
2_US (kr-jp),kr,kr,kr,jp,US
3_KR (kr-jp),invalid,kr,jp,kr,US
3_CN (kr-jp),invalid,kr,jp,kr,US
3_JP (kr-jp),invalid,kr,jp,kr,US
3_US (kr-jp),invalid,kr,jp,kr,US
4_KR (cn-jp),jp,cn,jp,invalid,US
4_CN (cn-jp),cn,cn,jp,cn,US
4_JP (cn-jp),jp,cn,jp,cn,US
4_US (cn-jp),invalid,jp,invalid,jp,US
1_KR (kr-cn),invalid,kr,kr,kr,gpt4
1_CN (kr-cn),invalid,kr,kr,cn,gpt4
1_JP (kr-cn),invalid,kr,kr,kr,gpt4
1_US (kr-cn),invalid,kr,kr,kr,gpt4
2_KR (kr-jp),kr,kr,invalid,kr,gpt4
2_CN (kr-jp),kr,kr,invalid,invalid,gpt4
2_JP (kr-jp),invalid,invalid,invalid,invalid,gpt4
2_US (kr-jp),invalid,kr,invalid,invalid,gpt4
3_KR (kr-jp),invalid,kr,kr,kr,gpt4
3_CN (kr-jp),invalid,invalid,kr,kr,gpt4
3_JP (kr-jp),invalid,invalid,invalid,invalid,gpt4
3_US (kr-jp),invalid,invalid,kr,kr,gpt4
4_KR (cn-jp),invalid,invalid,invalid,cn,gpt4
4_CN (cn-jp),invalid,invalid,invalid,cn,gpt4
4_JP (cn-jp),invalid,invalid,jp,jp,gpt4
4_US (cn-jp),invalid,invalid,jp,jp,gpt4
